index,Value
0,14.79
1,10.24
2,9.48
3,10.62
4,14.41
5,10.24
6,8.72
7,11.0
8,10.62
9,8.72
10,7.96
11,6.44
12,7.58
13,7.96
14,6.82
15,6.44
16,6.82
17,6.44
18,7.2
19,6.82
20,9.48
21,11.0
22,9.86
23,11.0
24,11.0
25,9.48
26,7.96
27,8.72
28,9.1
29,11.0
30,9.48
31,9.48
32,9.1
33,9.1
34,10.62
35,10.24
36,11.38
37,11.0
38,10.62
39,9.1
40,10.62
41,10.62
42,9.86
43,10.24
44,10.62
45,10.24
46,11.0
47,8.34
48,7.96
49,6.44
50,7.96
51,8.72
52,7.58
53,6.82
54,6.82
55,5.3
56,4.92
57,4.92
58,5.3
59,8.34
60,5.3
61,6.44
62,7.96
63,6.06
64,9.48
65,5.68
66,4.54
67,5.3
68,4.17
69,6.44
70,6.44
71,6.82
72,6.82
73,8.72
74,6.44
75,7.58
76,6.82
77,7.2
78,6.82
79,5.68
80,4.54
81,4.54
82,6.06
83,7.58
84,7.58
85,8.72
86,9.86
87,9.86
88,9.1
89,7.2
90,6.44
91,5.3
92,5.3
93,7.2
94,10.24
95,9.1
96,4.92
97,4.92
98,6.82
99,6.82
100,4.54
101,4.54
102,6.44
103,6.82
104,7.96
105,8.34
106,5.3
107,5.68
108,4.92
109,3.41
110,2.65
111,3.03
112,5.3
113,3.41
114,5.3
115,4.54
116,4.54
117,3.79
118,3.41
119,3.41
120,3.03
121,4.17
122,4.92
123,4.17
124,3.79
125,4.54
126,3.41
127,4.92
128,6.44
129,5.3
130,6.44
131,6.82
132,5.3
133,6.44
134,7.2
135,9.1
136,9.86
137,9.1
138,8.34
139,8.72
140,7.96
141,7.96
142,7.96
143,9.1
144,9.1
145,9.1
146,9.86
147,10.62
148,8.72
149,7.96
150,7.2
151,7.2
152,7.2
153,7.58
154,8.34
155,8.72
156,7.96
157,7.2
158,7.58
159,6.82
160,8.34
161,7.96
162,7.58
163,8.72
164,8.34
165,7.2
166,7.2
167,7.2
168,6.82
169,7.2
170,6.82
171,5.68
172,4.92
173,4.54
174,5.3
175,6.44
176,5.68
177,6.82
178,6.44
179,5.3
180,5.3
181,6.44
182,4.92
183,5.3
184,6.44
185,5.3
186,4.92
187,4.54
188,4.54
189,4.92
190,5.68
191,6.44
192,6.06
193,4.17
194,5.68
195,7.96
196,4.92
197,6.06
198,5.68
199,9.1
200,9.86
201,7.58
202,5.68
203,6.44
204,8.72
205,7.96
206,8.34
207,7.96
208,8.72
209,6.82
210,5.68
211,4.54
212,5.3
213,6.44
214,6.44
215,8.34
216,9.1
217,9.1
218,7.96
219,10.62
220,8.72
221,8.72
222,10.24
223,8.72
224,7.2
225,7.2
226,6.06
227,7.58
228,9.86
229,10.62
230,9.86
231,10.24
232,10.62
233,8.72
234,9.1
235,9.48
236,9.1
237,9.48
238,7.96
239,7.96
240,6.06
241,4.92
242,4.17
243,4.17
244,3.79
245,1.13
246,2.27
247,4.17
248,4.17
249,3.41
250,2.65
251,2.27
252,5.3
253,4.54
254,3.79
255,3.79
256,6.44
257,3.79
258,3.41
259,3.03
260,4.17
261,3.79
262,2.65
263,3.03
264,4.17
265,4.17
266,4.54
267,4.54
268,5.3
269,4.17
270,5.3
271,4.92
272,5.3
273,5.68
274,4.92
275,6.44
276,6.44
277,6.82
278,5.3
279,7.96
280,8.34
281,8.34
282,8.34
283,9.48
284,11.76
285,10.24
286,10.24
287,9.86
288,11.38
289,10.62
290,10.24
291,9.86
292,9.86
293,9.48
294,9.48
295,11.0
296,9.48
297,11.0
298,11.0
299,12.13
300,11.0
301,10.24
302,9.86
303,10.62
304,9.86
305,9.48
306,9.1
307,7.58
308,9.1
309,8.72
310,8.34
311,9.48
312,10.24
313,8.72
314,7.2
315,7.96
316,6.44
317,7.96
318,7.2
319,7.2
320,7.2
321,6.44
322,7.58
323,6.82
324,5.68
